List,Card Name,Description,Labels
Phase 0 — Contract & Shells,P0-1 Freeze SLC scope & golden-loop acceptance criteria,"WHAT: Write the 7-step golden loop as concrete, testable acceptance criteria (e.g. 'clinician creates a case in <=3 screens', 'patient logs a dose in <=2 taps'). Put the parked list somewhere visible. Commit as docs/scope.md.
DONE WHEN: docs/scope.md lists the 7 steps as testable statements + the parked list; all 5 agree.
TEST: Each member can point to the single screen/endpoint satisfying each of the 7 steps. No step owned by nobody or everybody.",group
Phase 0 — Contract & Shells,P0-2 Data model / ERD,"WHAT: Draw the ERD for all entities (Clinician, Patient, Case, Medication, ScheduledReminder, DoseLog, Recommendation, SymptomCheckIn, AIConversation, AIMessage). Define fields, types, FKs, enums (dose status taken/missed/skipped; case status open/closed). Commit docs/erd.md (mermaid).
DONE WHEN: ERD committed; every API response maps to entities here.
TEST: Pick any endpoint in the contract; trace its response fields back to ERD entities with no gaps. P1 signs off.","P1,P5,Backend"
Phase 0 — Contract & Shells,P0-3 Author the OpenAPI contract,"WHAT: Write openapi.yaml for every endpoint (/auth/*, /patients, /cases, /cases/{id}/medications, /adherence/log, /patients/{id}/adherence, /cases/{id}/recommendations, /symptoms/checkin, /patients/{id}/symptoms, /ai/chat, /fda/drug/{name}). Include request bodies, response schemas, status codes, shared error envelope.
DONE WHEN: openapi.yaml validates with no errors and is committed.
TEST: 'npx @redocly/cli lint openapi.yaml' exits 0; in Swagger UI every golden-loop step has its endpoint(s).","P1,P5,Backend"
Phase 0 — Contract & Shells,P0-4 Stand up the mock server,"WHAT: Generate a mock server from openapi.yaml returning realistic fake JSON for every endpoint (Prism 'prism mock openapi.yaml', or MSW, or a FastAPI stub). Add it to docker-compose.
DONE WHEN: 'docker-compose up mock' serves all endpoints with example data.
TEST: curl localhost:4010/cases/1 returns a valid Case JSON matching the schema; frontends can hit the mock without the real backend.","P1,Backend,DevOps"
Phase 0 — Contract & Shells,P0-5 Define provider interfaces,"WHAT: Create abstract interfaces so app code never calls boto3 directly: AuthProvider (issue/verify token, current user), LLMProvider (chat -> reply+sources), FDAProvider (get_drug -> safety). Factory picks impl from .env (AUTH_PROVIDER, LLM_PROVIDER, FDA_PROVIDER).
DONE WHEN: Interfaces + factory exist; a mock/local impl of each returns canned data; no AWS code yet.
TEST: pytest sets LLM_PROVIDER=mock and asserts factory returns mock and chat() returns the canned reply; same for AUTH_PROVIDER=local.","P1,Backend"
Phase 0 — Contract & Shells,P0-6 docker-compose skeleton,"WHAT: docker-compose.yml brings up Postgres + FastAPI (uvicorn --reload) + mock server. Add .env.example with local defaults (AUTH_PROVIDER=local, LLM_PROVIDER=openrouter...). Add /health endpoint.
DONE WHEN: Fresh clone + cp .env.example .env + docker-compose up brings the stack up with no manual steps.
TEST: On a clean machine, docker-compose up then curl localhost:8000/health returns {status:ok} and Postgres accepts a connection.","P1,P5,DevOps"
Phase 0 — Contract & Shells,P0-7 GitHub repo / branches / CI skeleton,"WHAT: Finalize repo + folder structure, PR template, branch naming (p2/feature-x), CI workflow stub: ruff + mypy + pytest (backend), build/lint (frontends).
DONE WHEN: A PR triggers CI; merge requires green CI + 1 review.
TEST: Open a trivial PR -> CI runs lint/type/test stages; a failing lint blocks merge.","P1,DevOps"
Phase 0 — Contract & Shells,P0-8 Figma design system & tokens,"WHAT: One shared token set (color, type scale, spacing, radius, semantic states: taken=green/missed=red/skipped=amber) in two expressions (dense web, calm mobile). Components: buttons, inputs, selects, pickers, cards, tables, tabs, modals, toasts, status pills, badges, charts, skeletons. AA contrast + 44-48px targets.
DONE WHEN: Figma file with tokens + components shared; tokens exported as JSON/Dart/CSS source of truth.
TEST: Contrast checker passes WCAG AA on every text/bg pair; P2/P3/P4 each find every component they need.","group,Figma"
Phase 0 — Contract & Shells,P0-9 Create the Trello board + import cards,"WHAT: Create the Remote CarePro board, the lists, the labels, import all cards (this CSV). Assign owners. (AWS Week-3 deliverable: convert design doc into actionable tasks.)
DONE WHEN: Board exists; every card has owner + phase + layer labels.
TEST: Each engineer filters by their P# label and sees a coherent, complete column of their own work.","group,DevOps"
Phase 0 — Contract & Shells,P0-10 Lock the three open decisions,"WHAT: Decide + record in docs/scope.md: (1) patient<->clinician linking (search-by-email + invite, recommended); (2) chatbot history persistent vs per-session (persistent); (3) reminder generation on server at med-create.
DONE WHEN: All three recorded with a one-line rationale.
TEST: P5 (patients), P4 (chat history), P1 (/ai/chat) each confirm their work is unblocked by the decision.",group
Phase 1 — Walking Skeleton,P1S-1 Backend skeleton slice,"WHAT: Minimum real endpoints vs Postgres with AUTH_PROVIDER=local: POST /auth/dev-login, POST /cases, POST /cases/{id}/medications, POST /adherence/log, GET /patients/{id}/adherence. Seed one clinician + one patient.
DONE WHEN: These endpoints persist to and read from Postgres.
TEST: Scripted run dev-login -> create case -> add 1 med -> log 1 dose -> GET adherence shows that dose. pytest tests/test_skeleton.py passes end-to-end.","P5,P1,Backend"
Phase 1 — Walking Skeleton,P1S-2 Web skeleton slice,"WHAT: Minimal React app: login (dev-login), form to create a case + one med, read view showing the dose was logged. Calls the real backend (not the mock).
DONE WHEN: Clinician logs in, creates case+med, sees adherence update (unstyled OK).
TEST: Manual: log in -> create case+med -> after a dose is logged, refresh and see '1 dose taken'. Screen-record the flow.","P2,Web"
Phase 1 — Walking Skeleton,P1S-3 Mobile skeleton slice,"WHAT: Minimal Flutter app: dev-login, fetch the patient case+medications, show the med, 'Log dose' button POSTing /adherence/log.
DONE WHEN: Patient logs in, sees the prescribed med, logs a dose vs the real backend.
TEST: On emulator: log in -> see the med from P1S-2 -> tap Taken -> backend records it (verify via P1S-1 GET adherence).","P4,Mobile"
Phase 1 — Walking Skeleton,P1S-4 Prove the slice end-to-end on Docker,"WHAT: Run web + mobile + backend + Postgres together locally and walk the full thin loop. Document in docs/skeleton-demo.md.
DONE WHEN: The loop (clinician creates -> patient logs -> clinician sees) works with zero AWS.
TEST: One recorded screen capture shows the complete loop across both apps hitting one local backend. PHASE-1 GATE.","P1,Integration"
Phase 2 — Fan Out,P2-P1-1 AuthProvider: local-JWT + Cognito adapters,"WHAT: Flesh out LocalAuthProvider (dev-login issues JWT signed with local secret; middleware verifies) and CognitoAuthProvider (verify vs Cognito JWKS). Identical claim shape (sub, role, email) so frontends/middleware don't change between modes.
DONE WHEN: Switching AUTH_PROVIDER local<->cognito needs no code change in routers or frontends.
TEST: pytest: a protected endpoint returns 401 without token, 200 with valid, 403 for wrong role — for BOTH providers (Cognito tested vs a real dev pool).","P1,Backend,AWS"
Phase 2 — Fan Out,P2-P1-2 Cognito user pool + patient-invite flow,"WHAT: Create the Cognito user pool, two app clients/roles (clinician, patient), and the invite flow (clinician invites patient by email -> patient sets password on first login).
DONE WHEN: A clinician can invite a patient; the patient receives an invite and logs in via Cognito.
TEST: End-to-end in a dev pool: invite a test email -> complete sign-up -> token has role=patient -> /patients/{id}/case returns 200 for that patient, 403 for a different patient.","P1,AWS"
Phase 2 — Fan Out,P2-P1-3 /ai/chat with Mock + OpenRouter + Bedrock adapters,"WHAT: Implement POST /ai/chat. Context-aware prompt grounded in the patient prescriptions + recommendations (from DB), system prompt enforcing 'informational only, never diagnostic, never change a dose'. Three LLMProvider adapters: mock (canned), openrouter (HTTP+API key), bedrock (boto3). Persist conversation + messages.
DONE WHEN: 'what is my medication for?' returns a grounded in-scope answer; 'should I double my dose?' returns a safe refusal; conversation persists.
TEST: pytest with LLM_PROVIDER=mock asserts the prompt includes the patient's actual meds and the refusal path triggers on a dose-change question. Manual run with openrouter returns a real on-topic answer; history reloads on a second call (same conversation id).","P1,Backend,AWS"
Phase 2 — Fan Out,P2-P1-4 Bedrock Guardrails,"WHAT: Configure Bedrock Guardrails to block diagnostic/dose-change content and PII leakage; wire the bedrock adapter to use them. AWS-only safety story for the pitch.
DONE WHEN: With LLM_PROVIDER=bedrock, an out-of-scope prompt is blocked by the guardrail (not just the system prompt).
TEST: Send 'diagnose my chest pain' -> response is the guardrail safe fallback. Capture the guardrail trace as pitch evidence.","P1,AWS"
Phase 2 — Fan Out,P2-P1-5 /fda/drug/{name}: openFDA + LLM summary + fixture mode,"WHAT: Implement GET /fda/drug/{name}: call openFDA (httpx async), extract warnings/recalls, summarize in plain language via LLMProvider, return with a source label. Add FDA_PROVIDER=fixture (cached JSON) for offline/demo.
DONE WHEN: Querying a real drug returns a plain-language safety summary + source; fixture mode works offline.
TEST: curl /fda/drug/ibuprofen returns a summary + source URL. With FDA_PROVIDER=fixture and network off, the same call still returns the cached summary.","P1,Backend"
Phase 2 — Fan Out,P2-P1-6 CI pipeline + AWS provisioning start,"WHAT: Finalize CI (ruff, mypy, pytest, frontend build). In parallel provision the AWS skeleton: RDS, ECR repo, ECS task def + service. Rehearse the deploy early — don't discover it in Week 9.
DONE WHEN: CI green on main; an ECR push + Fargate run of the current image succeeds vs a throwaway RDS.
TEST: Push the backend image to ECR, run the task on Fargate, curl <fargate-url>/health returns ok; CloudWatch shows the startup log line.","P1,DevOps,AWS"
Phase 2 — Fan Out,P2-P1-7 Review cadence & unblock (ongoing),"WHAT: Review PRs within a day, keep the OpenAPI contract authoritative (any change = a contract PR everyone sees + mock updated same day), pair with whoever is blocked.
DONE WHEN: Ongoing through Phase 2-4.
TEST: No PR sits in In Review > 24h; contract changes are announced and the mock is updated the same day.",P1
Phase 2 — Fan Out,P2-P2-1 Web app shell,"WHAT: Scaffold React + Vite + TS. Routing (React Router), responsive desktop layout, top + side nav, protected-route wrapper (redirect to login when unauthenticated), theme from P0-8 tokens. P3 consumes this shell.
DONE WHEN: Authenticated routes render inside the shell; unauthenticated users are redirected to login.
TEST: Visiting /cases logged out redirects to /login; after login it renders inside the nav shell. Component test for the protected-route wrapper passes.","P2,Web"
Phase 2 — Fan Out,P2-P2-2 Login screen,"WHAT: Email/password login via AuthProvider (dev-login local, Cognito prod), token stored, error states for bad credentials, forgot-password stub.
DONE WHEN: A clinician logs in and lands on the dashboard; bad credentials show a clear error.
TEST: Manual: correct creds -> redirected in; wrong creds -> inline error, no crash. Against the mock and the real backend.","P2,Web"
Phase 2 — Fan Out,P2-P2-3 Patient list + filters,"WHAT: Searchable/filterable table (TanStack Table) of the clinician patients (name, surgery, status). Used by the create-case flow.
DONE WHEN: List loads from GET /patients, filters by name/status, paginates.
TEST: With seeded data, type a name -> list narrows; clear -> full list returns. Renders an empty state when the clinician has no patients.","P2,Web"
Phase 2 — Fan Out,P2-P2-4 Create patient,"WHAT: Form to create a patient (name, surname, age, allergies, email for invite) -> POST /patients. Validation (React Hook Form + Zod). Triggers the Cognito invite via backend.
DONE WHEN: Submitting creates the patient and shows it in the list.
TEST: Submit valid form -> new patient appears in the list; submit invalid (missing email) -> inline validation blocks it.","P2,Web"
Phase 2 — Fan Out,P2-P2-5 Create case,"WHAT: Flow to create a case for a selected patient: pick patient -> choose surgery type -> POST /cases. Lands on the case-authoring screen.
DONE WHEN: A case is created and linked to the patient.
TEST: Create a case -> GET /cases/{id} returns it with the right patient + surgery type; it appears under the patient.","P2,Web"
Phase 2 — Fan Out,P2-P2-6 Prescribe medication + schedule builder,"WHAT: Core authoring screen: add medications (drug name free text, dose, frequency, duration, timing) with a schedule builder (e.g. 2x daily 08:00 & 20:00 for 7 days) -> POST /cases/{id}/medications. Med list per case with edit/remove.
DONE WHEN: Clinician can add/edit/remove meds; schedule captured in a structured shape the backend turns into reminders.
TEST: Add a med '2x/day for 7 days' -> GET /cases/{id}/medications returns the structured schedule -> backend generates 14 scheduled reminders (verify via P5). Edit the dose -> it updates.","P2,Web"
Phase 2 — Fan Out,P2-P2-7 Recommendations editor,"WHAT: Editor for structured recovery recommendations (type = activity/wound-care/physio/warning-sign; content; optional target) -> POST /cases/{id}/recommendations.
DONE WHEN: Clinician can add typed recommendations to a case; they list and edit.
TEST: Add one of each type -> GET /cases/{id}/recommendations returns all four with correct types; they render in the patient app (P4).","P2,Web"
Phase 2 — Fan Out,P2-P2-8 Empty / loading / error states (authoring),"WHAT: Apply the shared state components to every authoring screen (empty patient list, loading skeletons, API error toasts).
DONE WHEN: No authoring screen shows a blank or a raw error.
TEST: Kill the backend -> every screen shows a friendly error, not a white screen or console crash; empty data -> shows the empty state.","P2,Web"
